arrangement_id	ast_status	canonical_eight_factors	coefficient_domain	parse_warnings	raw_equation	top_level_factor_count
53	parsed	"[""x"", ""y"", ""(x+y)"", ""(A0*x+A1*y+A1*z)"", ""z"", ""(A0*x+A1*y+A1*z+A0*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(x + y)(A_{0}x + A_{1}y + A_{1}z)z(A_{0}x + A_{1}y + A_{1}z + A_{0}t)t(x + y + z + t)	8
54	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(x+t)"", ""(y+t)"", ""z"", ""(A0*x+A2*z+A0*t)"", ""(z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(x + t)(y + t)z(A_{0}x + A_{2}z + A_{0}t)(z + t)	8
55	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A0*x+A2*y+A2*z)"", ""(x+y+t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{0}x + A_{2}y + A_{2}z)(x + y + t)t(x + y + z + t)	8
56	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A0*x+A2*y+A2*z)"", ""z"", ""(A0*x+A2*y+A2*z+A3*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{0}x + A_{2}y + A_{2}z)z(A_{0}x + A_{2}y + A_{2}z + A_{3}t)t(x + y + z + t)	8
57	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A0*x+A2*y+A2*z)"", ""z"", ""(A0*x+A0*y+A0*z+A3*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{0}x + A_{2}y + A_{2}z)z(A_{0}x + A_{0}y + A_{0}z + A_{3}t)t(x + y + z + t)	8
58	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A0*x+A0*y+A2*z)"", ""(A0*x+A0*y+A0*z+A3*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{0}x + A_{0}y + A_{2}z)(A_{0}x + A_{0}y + A_{0}z + A_{3}t)t(x + y + z + t)	8
59	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A0*x+A3*y+A2*z)"", ""z"", ""((-A0+A2)*x+(A2-A3)*y+A2*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{0}x + A_{3}y + A_{2}z)z((-A_{0} + A_{2})x + (A_{2} - A_{3})y + A_{2}t)t(x + y + z + t)	8
60	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A0*x+A2*y+A2*z)"", ""t"", ""((A0-A2)*z+A0*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{0}x + A_{2}y + A_{2}z)t((A_{0} - A_{2})z + A_{0}t)(x + y + z + t)	8
61	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(x+y+z)"", ""z"", ""t"", ""(x+y+z+t)"", ""(A0*x+A2*z+A3*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(x + y + z)zt(x + y + z + t)(A_{0}x + A_{2}z + A_{3}t)	8
62	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(x+y+z)"", ""z"", ""t"", ""(x+y+z+t)"", ""(A0*x+A2*y+A3*z+A4*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(x + y + z)zt(x + y + z + t)(A_{0}x + A_{2}y + A_{3}z + A_{4}t)	8
63	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A0*x+A2*y+A3*z)"", ""(A0*x+A0*y+A0*z+A4*t)"", ""t"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{0}x + A_{2}y + A_{3}z)(A_{0}x + A_{0}y + A_{0}z + A_{4}t)t(x + y + z + t)	8
64	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""t"", ""(A0*z+A1*t)"", ""(x+y+z+t)"", ""(A0*x+A2*y+A0*z+A2*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)zt(A_{0}z + A_{1}t)(x + y + z + t)(A_{0}x + A_{2}y + A_{0}z + A_{2}t)	8
65	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""t"", ""(A0*z+A2*t)"", ""(x+y+z+t)"", ""(A0*x+A3*y+A0*z+A3*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)zt(A_{0}z + A_{2}t)(x + y + z + t)(A_{0}x + A_{3}y + A_{0}z + A_{3}t)	8
66	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A2*z+A3*t)"", ""t"", ""(x+y+z+t)"", ""(A0*x+A4*y+A2*z+A4*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{2}z + A_{3}t)t(x + y + z + t)(A_{0}x + A_{4}y + A_{2}z + A_{4}t)	8
67	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A2*z+A3*t)"", ""t"", ""(x+y+z+t)"", ""(A0*x+A4*y+A2*z+A5*t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{2}z + A_{3}t)t(x + y + z + t)(A_{0}x + A_{4}y + A_{2}z + A_{5}t)	8
68	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(A0*x+A0*y+A2*z)"", ""z"", ""t"", ""(A0*x+A0*y+A3*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(A_{0}x + A_{0}y + A_{2}z)zt(A_{0}x + A_{0}y + A_{3}t)(x + y + z + t)	8
69	parsed	"[""x"", ""y"", ""(-2*x+y)"", ""(y+t)"", ""(x+t)"", ""(x-y+z)"", ""z"", ""(z+t)""]"	Q		xy(-2x + y)(y + t)(x + t)(x - y + z)z(z + t)	8
70	parsed	"[""x"", ""(x+y-z)"", ""(A0*x+A1*y-A1*z)"", ""y"", ""z"", ""(y+t)"", ""(z+t)"", ""(x+t)""]"	Q(parameters)		x(x + y - z)(A_{0}x + A_{1}y - A_{1}z)yz(y + t)(z + t)(x + t)	8
71	parsed	"[""x"", ""y"", ""(x+y)"", ""(A0*x+A1*y+A1*z)"", ""z"", ""t"", ""((-A0+A1)*x+A1*y+A1*t)"", ""(x+y+z+t)""]"	Q(parameters)		xy(x + y)(A_{0}x + A_{1}y + A_{1}z)zt((-A_{0} + A_{1})x + A_{1}y + A_{1}t)(x + y + z + t)	8
72	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""(y+t)"", ""(x+t)"", ""(x+y-z)"", ""z"", ""(z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)(y + t)(x + t)(x + y - z)z(z + t)	8
73	parsed	"[""x"", ""(A0*x+A1*t)"", ""(x+t)"", ""y"", ""(y+t)"", ""z"", ""(z+t)"", ""(-A0*x+A0*y+A1*z)""]"	Q(parameters)		x(A_{0}x + A_{1}t)(x + t)y(y + t)z(z + t)(-A_{0}x + A_{0}y + A_{1}z)	8
74	parsed	"[""x"", ""y"", ""(A0*x+A1*y)"", ""z"", ""(A0*x+A2*y+(-A0-A2)*z)"", ""(x+t)"", ""(y+t)"", ""(z+t)""]"	Q(parameters)		xy(A_{0}x + A_{1}y)z(A_{0}x + A_{2}y + (-A_{0} - A_{2})z)(x + t)(y + t)(z + t)	8
