claim_level	directed	evidence_type	join_state	relationship_id	relationship_type	source_id	target_id
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:271310294e446be481af3176f263f5c405c86d629b9349f00ec14061b4a16f32	source_crosswalk	cynk_meyer_table1:12	cynk_meyer_table1:12
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:9562d2c833e79e868c5e4f743e11f18dde358e6cfbf12d94b02c04dc61c040b0	source_crosswalk	cynk_meyer_table1:13	cynk_meyer_table1:13
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:eeb4fd93aa54e003ac0cc34c87529076a6970d25526662e249a03515817d4542	source_crosswalk	cynk_meyer_table1:14	cynk_meyer_table1:14
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:bcdf6f0ab7b6f90054293f93c5cace1fa34c8cfab8c866ec6538ecf512bf0005	source_crosswalk	cynk_meyer_table1:15	cynk_meyer_table1:15
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:50544a5add77e12aa65ab71636597de21171bd4f50ea520ae13763b60039324a	source_crosswalk	cynk_meyer_table1:16	cynk_meyer_table1:16
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:e1a6e8dff453e3b004aa7faed7bde7e215a77e4d6764eb66e3bfadb7e5747c38	source_crosswalk	cynk_meyer_table1:17	cynk_meyer_table1:17
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:a641cbba4c5f762d2ba84080020415c540dd9283e24dfe38d3e4f2d9f5e7f7ee	source_crosswalk	cynk_meyer_table1:18	cynk_meyer_table1:18
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:64e034cd3f7549b05fc10bf12639155c74af156c0a7847139a96b8157b84f7a1	source_crosswalk	cynk_meyer_table1:19	cynk_meyer_table1:19
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:9d55ebe6828db78a21ceaad36ac452c4b0629e915eb60ece75faff5b18e848ec	source_crosswalk	cynk_meyer_table1:20	cynk_meyer_table1:20
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:b12f404a7f789ab34da4797bc13a7ed2fca9427628b2eae5892f66afd26aae75	source_crosswalk	cynk_meyer_table1:21	cynk_meyer_table1:21
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:63e870d482a14142b5e81c28b52a14ecf1db2966ad3476b68f1242bd8bc0d99d	source_crosswalk	cynk_meyer_table1:22	cynk_meyer_table1:22
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:4c1e08bc308e32ba69c9f9141ea7af5b81cbc3fb01380bd87ef81cd5983db8a3	source_crosswalk	cynk_meyer_table1:23	cynk_meyer_table1:23
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:b9b07cab771e33a41c0ef818b31e126e2dc0324f7695f36f991298cf6004c66f	source_crosswalk	cynk_meyer_table1:24	cynk_meyer_table1:24
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:f1a172ce6c9074f020428d238d055420606f2d41d50c02a8b524ee179fa8b878	source_crosswalk	cynk_meyer_table1:25	cynk_meyer_table1:25
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:22539be21fb3c2fd9cb7b95200075f5f2a226eff3129e7287a40595a3a88c189	source_crosswalk	cynk_meyer_table1:26	cynk_meyer_table1:26
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:7658ab05ad657f4b50f4326ef5900eea2f2ade2bf96ff846b3116a588f1465d9	source_crosswalk	cynk_meyer_table1:27	cynk_meyer_table1:27
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:34db2e2f6b559f57a59fc1e3db9df57ce62c97b2ed9b9e318a27c0fff77f520b	source_crosswalk	cynk_meyer_table1:28	cynk_meyer_table1:28
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:73c08f459332035f9563f963159ee5c2305addc3656a78e3693995b8065f6466	source_crosswalk	cynk_meyer_table1:29	cynk_meyer_table1:29
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:790d7be375d4c523a9a12e8ef2fc9db83f09f02d5f10f3b5cf3066d86fd02054	source_crosswalk	cynk_meyer_table1:30	cynk_meyer_table1:30
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:2e3ef7934076edba1e61f4a486a41a5ec2fbf6f0d319d2b763fc537c2f6b5525	source_crosswalk	cynk_meyer_table1:31	cynk_meyer_table1:31
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:4efb0aa67e797c69477871929ee98b1fbebe3790d31708fa65b4fcebe4d5bdf6	source_crosswalk	cynk_meyer_table1:32	cynk_meyer_table1:32
source_reported_or_computational	YES	arrangement_label	matched_repo_local	universe_relationship:ab38c46b9bd24ee6958c7d782edd75c8369aece070dddf0afed48db884a42e1e	source_crosswalk	cynk_meyer_table1:33	cynk_meyer_table1:33
